# Temperatura_=_20.0
# Concentracion g/m^3_=_11600.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301726.00074714306

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.839838e-06	-1.014212e-08	-5.753998e+01	-6.625135e+02
1.000000e-08	-7.835902e-06	-1.014202e-08	-5.751109e+01	-6.623699e+02
2.000000e-08	-7.829440e-06	-1.013524e-08	-5.746367e+01	-6.621513e+02
3.000000e-08	-7.820343e-06	-1.012839e-08	-5.739690e+01	-6.618558e+02
4.000000e-08	-7.808439e-06	-1.012103e-08	-5.730953e+01	-6.614845e+02
5.000000e-08	-7.793648e-06	-1.011311e-08	-5.720097e+01	-6.610409e+02
6.000000e-08	-7.776184e-06	-1.009873e-08	-5.707279e+01	-6.605306e+02
7.000000e-08	-7.756424e-06	-1.006709e-08	-5.692777e+01	-6.599608e+02
8.000000e-08	-7.734171e-06	-1.008516e-08	-5.676444e+01	-6.593390e+02
9.000000e-08	-7.708817e-06	-1.013481e-08	-5.657836e+01	-6.586725e+02
1.000000e-07	-7.680300e-06	-1.009822e-08	-5.636906e+01	-6.579672e+02
1.100000e-07	-7.649060e-06	-1.005307e-08	-5.613977e+01	-6.572283e+02
1.200000e-07	-7.615104e-06	-1.003266e-08	-5.589056e+01	-6.564595e+02
1.300000e-07	-7.578583e-06	-1.000199e-08	-5.562251e+01	-6.556633e+02
1.400000e-07	-7.540010e-06	-9.979649e-09	-5.533941e+01	-6.548408e+02
1.500000e-07	-7.499141e-06	-1.002907e-08	-5.503946e+01	-6.539912e+02
1.600000e-07	-7.455499e-06	-1.002710e-08	-5.471915e+01	-6.531112e+02
1.700000e-07	-7.409256e-06	-9.907951e-09	-5.437975e+01	-6.521942e+02
1.800000e-07	-7.360256e-06	-9.952268e-09	-5.402012e+01	-6.512306e+02
1.900000e-07	-7.308159e-06	-9.921033e-09	-5.363775e+01	-6.502077e+02
2.000000e-07	-7.253266e-06	-9.884003e-09	-5.323487e+01	-6.491112e+02
2.100000e-07	-7.195720e-06	-9.912222e-09	-5.281252e+01	-6.479273e+02
2.200000e-07	-7.135602e-06	-9.836524e-09	-5.237129e+01	-6.466446e+02
2.300000e-07	-7.072964e-06	-9.834641e-09	-5.191156e+01	-6.452562e+02
2.400000e-07	-7.007598e-06	-9.798176e-09	-5.143181e+01	-6.437612e+02
2.500000e-07	-6.939633e-06	-9.792783e-09	-5.093299e+01	-6.421646e+02
2.600000e-07	-6.869205e-06	-9.778834e-09	-5.041608e+01	-6.404761e+02
2.700000e-07	-6.796221e-06	-9.724079e-09	-4.988042e+01	-6.387080e+02
2.800000e-07	-6.720646e-06	-9.689650e-09	-4.932574e+01	-6.368716e+02
2.900000e-07	-6.642407e-06	-9.660349e-09	-4.875152e+01	-6.349753e+02
3.000000e-07	-6.561502e-06	-9.670331e-09	-4.815771e+01	-6.330214e+02
3.100000e-07	-6.478253e-06	-9.613958e-09	-4.754671e+01	-6.310069e+02
3.200000e-07	-6.392930e-06	-9.577427e-09	-4.692049e+01	-6.289234e+02
3.300000e-07	-6.305454e-06	-9.551604e-09	-4.627847e+01	-6.267603e+02
3.400000e-07	-6.215651e-06	-9.494043e-09	-4.561937e+01	-6.245078e+02
3.500000e-07	-6.123593e-06	-9.477303e-09	-4.494371e+01	-6.221600e+02
3.600000e-07	-6.029468e-06	-9.449438e-09	-4.425289e+01	-6.197166e+02
3.700000e-07	-5.933175e-06	-9.405194e-09	-4.354615e+01	-6.171840e+02
3.800000e-07	-5.834604e-06	-9.343329e-09	-4.282270e+01	-6.145730e+02
3.900000e-07	-5.733933e-06	-9.312743e-09	-4.208383e+01	-6.118970e+02
4.000000e-07	-5.631282e-06	-9.286238e-09	-4.133043e+01	-6.091672e+02
4.100000e-07	-5.526564e-06	-9.241564e-09	-4.056186e+01	-6.063904e+02
4.200000e-07	-5.419714e-06	-9.196247e-09	-3.977764e+01	-6.035662e+02
4.300000e-07	-5.310900e-06	-9.145978e-09	-3.897901e+01	-6.006868e+02
