# Temperatura_=_20.0
# Concentracion g/m^3_=_7000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301635.6185796344

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.911405e-06	-7.913170e-09	-5.757507e+01	-5.180665e+02
1.000000e-08	-7.907546e-06	-7.913537e-09	-5.754698e+01	-5.178695e+02
2.000000e-08	-7.901214e-06	-7.907442e-09	-5.750090e+01	-5.176629e+02
3.000000e-08	-7.892283e-06	-7.900026e-09	-5.743590e+01	-5.174603e+02
4.000000e-08	-7.880501e-06	-7.897129e-09	-5.735017e+01	-5.172622e+02
5.000000e-08	-7.865727e-06	-7.899012e-09	-5.724264e+01	-5.170569e+02
6.000000e-08	-7.848174e-06	-7.899652e-09	-5.711491e+01	-5.168247e+02
7.000000e-08	-7.828303e-06	-7.899063e-09	-5.697030e+01	-5.165442e+02
8.000000e-08	-7.806010e-06	-7.901868e-09	-5.680806e+01	-5.161995e+02
9.000000e-08	-7.780704e-06	-7.896443e-09	-5.662390e+01	-5.157850e+02
1.000000e-07	-7.752255e-06	-7.877895e-09	-5.641685e+01	-5.153073e+02
1.100000e-07	-7.720974e-06	-7.859622e-09	-5.618921e+01	-5.147836e+02
1.200000e-07	-7.686915e-06	-7.856291e-09	-5.594135e+01	-5.142365e+02
1.300000e-07	-7.650231e-06	-7.876006e-09	-5.567438e+01	-5.136875e+02
1.400000e-07	-7.611386e-06	-7.886187e-09	-5.539169e+01	-5.131514e+02
1.500000e-07	-7.570367e-06	-7.842101e-09	-5.509317e+01	-5.126319e+02
1.600000e-07	-7.526643e-06	-7.791698e-09	-5.477497e+01	-5.121213e+02
1.700000e-07	-7.480190e-06	-7.786247e-09	-5.443691e+01	-5.116031e+02
1.800000e-07	-7.431064e-06	-7.792396e-09	-5.407939e+01	-5.110568e+02
1.900000e-07	-7.378932e-06	-7.780032e-09	-5.370000e+01	-5.104641e+02
2.000000e-07	-7.323932e-06	-7.742990e-09	-5.329975e+01	-5.098132e+02
2.100000e-07	-7.266238e-06	-7.715317e-09	-5.287988e+01	-5.091016e+02
2.200000e-07	-7.205883e-06	-7.708782e-09	-5.244065e+01	-5.083356e+02
2.300000e-07	-7.142943e-06	-7.727578e-09	-5.198260e+01	-5.075270e+02
2.400000e-07	-7.077295e-06	-7.751695e-09	-5.150485e+01	-5.066889e+02
2.500000e-07	-7.009063e-06	-7.717042e-09	-5.100829e+01	-5.058305e+02
2.600000e-07	-6.938339e-06	-7.651404e-09	-5.049360e+01	-5.049545e+02
2.700000e-07	-6.864973e-06	-7.643338e-09	-4.995968e+01	-5.040558e+02
2.800000e-07	-6.788933e-06	-7.678999e-09	-4.940630e+01	-5.031242e+02
2.900000e-07	-6.710199e-06	-7.674841e-09	-4.883332e+01	-5.021471e+02
3.000000e-07	-6.628826e-06	-7.624094e-09	-4.824113e+01	-5.011146e+02
3.100000e-07	-6.545124e-06	-7.574089e-09	-4.763199e+01	-5.000225e+02
3.200000e-07	-6.459321e-06	-7.564418e-09	-4.700756e+01	-4.988744e+02
3.300000e-07	-6.371335e-06	-7.579674e-09	-4.636724e+01	-4.976801e+02
3.400000e-07	-6.281078e-06	-7.572391e-09	-4.571040e+01	-4.964533e+02
3.500000e-07	-6.188556e-06	-7.534797e-09	-4.503707e+01	-4.952072e+02
