# 260422_14:01:37.021509
t	CH1	CH2
0.000000e+00	-2.216877e-03	2.931573e-02
1.000000e-08	8.023414e-03	-2.347407e-01
2.000000e-08	-4.895962e-03	-4.853963e-01
3.000000e-08	1.606975e-04	-8.201603e-01
4.000000e-08	-5.133471e-03	-1.053288e+00
5.000000e-08	3.339601e-04	-1.341133e+00
6.000000e-08	-2.168794e-03	-1.611159e+00
7.000000e-08	3.045927e-02	-1.884839e+00
8.000000e-08	9.077131e-02	-2.086818e+00
9.000000e-08	-1.374333e-02	-2.433997e+00
1.000000e-07	-8.760026e-02	-2.834864e+00
1.100000e-07	6.584450e-03	-3.189630e+00
1.200000e-07	-5.147308e-02	-3.368556e+00
1.300000e-07	-3.793783e-02	-3.551106e+00
1.400000e-07	8.986277e-02	-3.781685e+00
1.500000e-07	8.527120e-02	-4.023863e+00
1.600000e-07	-1.876416e-01	-4.320004e+00
1.700000e-07	2.083537e-01	-4.481059e+00
1.800000e-07	-1.643618e-01	-4.877397e+00
1.900000e-07	1.133821e-01	-5.071037e+00
2.000000e-07	1.160588e-02	-5.416396e+00
2.100000e-07	-1.171704e-01	-5.751631e+00
2.200000e-07	1.376067e-01	-5.972079e+00
2.300000e-07	-1.491326e-01	-6.206373e+00
2.400000e-07	1.379692e-01	-6.492110e+00
2.500000e-07	-1.541033e-02	-6.803265e+00
2.600000e-07	-7.423734e-02	-7.067426e+00
2.700000e-07	6.918082e-02	-7.259055e+00
2.800000e-07	-1.088705e-01	-7.567721e+00
2.900000e-07	1.848766e-01	-7.829454e+00
3.000000e-07	-1.434356e-01	-8.100557e+00
3.100000e-07	6.565016e-02	-8.352613e+00
3.200000e-07	-2.839552e-02	-8.533817e+00
3.300000e-07	-2.737848e-02	-8.807928e+00
3.400000e-07	7.397105e-02	-9.037347e+00
3.500000e-07	-7.036000e-02	-9.230555e+00
3.600000e-07	7.893438e-02	-9.480629e+00
3.700000e-07	-1.182243e-01	-9.702638e+00
3.800000e-07	8.644189e-02	-9.871585e+00
3.900000e-07	-3.214598e-02	-1.013474e+01
4.000000e-07	5.388318e-02	-1.037574e+01
4.100000e-07	-4.239886e-02	-1.054419e+01
4.200000e-07	-7.312730e-03	-1.074325e+01
4.300000e-07	2.293907e-02	-1.091574e+01
4.400000e-07	-6.874758e-03	-1.111687e+01
4.500000e-07	2.920451e-02	-1.132622e+01
4.600000e-07	-3.648746e-02	-1.155790e+01
4.700000e-07	2.335051e-02	-1.173735e+01
4.800000e-07	-3.485873e-02	-1.193580e+01
4.900000e-07	3.974818e-02	-1.213526e+01
5.000000e-07	-1.117978e-02	-1.231412e+01
5.100000e-07	1.127426e-02	-1.244349e+01
5.200000e-07	-3.373784e-02	-1.260091e+01
5.300000e-07	1.682084e-02	-1.278793e+01
5.400000e-07	8.291618e-03	-1.291422e+01
5.500000e-07	8.808684e-03	-1.308312e+01
5.600000e-07	-1.362105e-02	-1.321088e+01
5.700000e-07	-7.204796e-03	-1.334937e+01
5.800000e-07	6.599350e-03	-1.347272e+01
